,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
68,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""","""5 Canonmills""",Edinburgh,MLN,EH3 5HA,55.96244420000001,-3.1976623,4.5,16,1,Breakfast & Brunch;Diners;Restaurants;Cafes;British
380,inaACfObL1NBNJmBG11iuQ,"""Global Deli""","""13 George IV Bridge, Old Town""",Edinburgh,EDH,EH1 1EE,55.947959700000006,-3.1921432000000003,4.0,13,1,Restaurants;Food;Sandwiches;Coffee & Tea;Delis
397,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""","""10 Queensferry Street""",Edinburgh,EDH,EH2 4PG,55.9505495,-3.2094542,3.5,19,1,Restaurants;Cantonese;Chinese
420,OvbLKXkJCg8ZMHX9L5faIA,"""Bread Meats Bread""","""92 Lothian Road""",Edinburgh,EDH,EH3 9BE,55.9463897672,-3.2058293601,4.0,28,1,Burgers;Restaurants
446,T2jfXhvQPk9wLdt1OVV-Kg,"""Rose Street Brewery""","""55-57 Rose Street""",Edinburgh,EDH,EH2 2NH,55.952835227899996,-3.1985596159,3.0,24,1,Pubs;Whiskey Bars;Nightlife;Breakfast & Brunch;Restaurants;Bars
549,AKhyVVdettT6M-ExhYKHdw,"""Baxters""","""Unit 2, Ocean Drive""",Edinburgh,EDH,EH6 6JJ,55.9795839,-3.1788828,4.0,10,0,Restaurants;Food;Coffee & Tea;Soup
723,itnExCtgV-49SKgMs3M7kg,"""Chipotle Mexican Grill""","""899 N Ct St""",Medina,OH,44256,41.1361174,-81.71994670000001,3.5,18,1,Restaurants;Mexican;Fast Food
782,eSQt_QNjxNEYN3bF1fHbQg,"""Monster Mash""","""20 Forrest Road""",Edinburgh,EDH,EH1 2QN,55.9458,-3.1911,3.5,25,0,British;Cafes;Restaurants
1048,UqcK-YuHPzcWQtNjmhTb7g,"""The Other Place""","""2-4 Broughton Road""",Edinburgh,EDH,EH7 4EB,55.962520766400004,-3.1963183377999997,3.5,22,1,Restaurants;Brasseries;Pubs;Nightlife;Bars;Gastropubs;Scottish
1171,JKis0v-LqK_u0p4SVhJNDw,"""Herbie West End""","""7 William Street""",Edinburgh,EDH,EH3 7NG,55.949653500000004,-3.2119004,4.0,5,1,Food;Coffee & Tea;Sandwiches;Delis;Restaurants
