,business_id,name,city,categories,review_id,user_id,stars
1900,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,b31UZTy2TvnFtkfygJG40Q,bcxcQhp0sKYd9eUnEVUzPA,5
1901,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,jYxWLyWrWy8dJFQs9DEuEg,RFxjYeLW_aYLdVW3PBwFNg,4
1903,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,GGWxoYbx_h2x7a46m0MYRA,BhYROfCjIJsKUk22_IVHig,3
1904,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,PslbThtGZ_yOWZxAFc3GVg,J_qpI2jCkwv7vPNz_9JeqA,4
1907,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,oRYhx_qYK5slteB5nyEAiQ,NMelfYHO9mncdmZLIABLgQ,5
1914,F31RycVVooeIOp9jsXmg6g,"""The Bluebird Cafe""",Edinburgh,Breakfast & Brunch;Diners;Restaurants;Cafes;British,gXTqph-a_GIHMeVfazgsWQ,LURC3E0DoXYgN9aYTF3XOg,4
9643,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,cZfAtRAwpVZNXi59ZrrDoQ,CqkdpG2tkCPQA69umlAHsA,5
9644,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,JopW7JV8iTiillauRsplLQ,2WmGb0fKKv7qV4msEpvHcw,4
9645,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,W8gx8urkkTj-UbvX-6_95A,mJM9uvrQ0q1nrSn1xRbHQQ,5
9646,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,Y10RTxNmT_fuq0LL9SQqeQ,j9AYnOtFC90VpDFbma8Q3A,4
9647,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,wbFDCI3du6BUq2nJ0Z2fmw,SxV1Jq7UANuSYpn42JXvOA,4
9651,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,PN8C0igZE96xgOSYDgtQ8w,xXQTdJXPGOP-NUYctcQw8g,5
9652,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,UFxg84zHBAwDeHmMGHQ7yA,R9UNH0rb3a_glQlk4ylKCw,4
9653,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,xPx01HyRAWMLjm1AxYKhvQ,y1aO3OhXF6ZNr0H-Qk43MA,4
9654,inaACfObL1NBNJmBG11iuQ,"""Global Deli""",Edinburgh,Restaurants;Food;Sandwiches;Coffee & Tea;Delis,wd7IXz7hiyLo1wG2HzEypg,o0WGr8L3BWfH2Bslpnqw6g,4
10245,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""",Edinburgh,Restaurants;Cantonese;Chinese,6CSzdWuP3XMY7IxetksdiQ,IY8cvV2SQuhJjKhRW68tFw,3
10247,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""",Edinburgh,Restaurants;Cantonese;Chinese,ZpoR2t-7jjBnBxl_ak_BSQ,BahHBtIfpuT-w-BUO_g1mg,3
10249,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""",Edinburgh,Restaurants;Cantonese;Chinese,2s-5SRqr_mRRGSLPAmWFDg,A_dC3FJOqvlsDEiDyMrzlA,4
10250,Di5ApLgoQpcv5Aew82fI_A,"""The Rendezvous""",Edinburgh,Restaurants;Cantonese;Chinese,SHxSVn-TelxvSr_MdZU5pA,Tnds-B3I5i7veps0zkSSmw,4
